job_id,title,company,city,region,salary_range,contract_type,category,score_hybride,score_cb,score_cf,recence,regime,alpha_cb,alpha_cf
6046,2010,Maghreb Industries,0,,2202,"Casablanca Trading recherche un(e) Professeur pour rejoindre son équipe à Rabat.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Professeur
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,86.9,100.0,0.0,64.8,Cold-start (n=1),0.9,0.1
6159,2002,MARKA SERVICES,0,,2203,"Oasis Industries recherche un(e) Délégué Commercial pour rejoindre son équipe à Tétouan.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Délégué Commercial
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,78.9,82.1,100.0,56.7,Cold-start (n=1),0.9,0.1
6097,2002,Dakhla Wind & Aquaculture,0,,2203,"Kingdom Enterprises recherche un(e) Responsable des Ventes pour rejoindre son équipe à Casablanca.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Responsable des Ventes
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,73.1,85.8,0.0,58.7,Cold-start (n=1),0.9,0.1
6193,2010,,0,,2203,"Atlantic Solutions recherche un(e) Formateur en Ligne pour rejoindre son équipe à Fès.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Formateur en Ligne
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,63.8,73.9,0.0,62.7,Cold-start (n=1),0.9,0.1
6056,2002,PharmaLab Maroc,0,,2200,"Meknès Solutions recherche un(e) Business Developer pour rejoindre son équipe à Tétouan.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Business Developer
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,63.6,81.7,0.0,54.9,Cold-start (n=1),0.9,0.1
6042,2010,Khénifra BTP & Travaux,0,,2202,"Maroc Distribution recherche un(e) Professeur pour rejoindre son équipe à Meknès.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Professeur
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,61.4,73.5,0.0,53.1,Cold-start (n=1),0.9,0.1
6111,2010,,0,,2202,"Mediterranean Group recherche un(e) Professeur pour rejoindre son équipe à Oujda.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Professeur
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,59.9,72.2,0.0,51.3,Cold-start (n=1),0.9,0.1
6078,2010,,0,,2200,"Digital Ventures recherche un(e) Formateur en Ligne pour rejoindre son équipe à Tanger.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Formateur en Ligne
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,58.5,64.1,0.0,79.2,Cold-start (n=1),0.9,0.1
6029,2002,Nador Commerce International,0,,2200,"Rabat Industries recherche un(e) Key Account Manager pour rejoindre son équipe à Casablanca.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Key Account Manager
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,57.2,64.9,0.0,93.6,Cold-start (n=1),0.9,0.1
6016,2002,Nord Textile Industries,0,,2201,"Oriental Industries recherche un(e) Vendeur Comptoir pour rejoindre son équipe à Marrakech.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Vendeur Comptoir
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,54.9,51.6,100.0,67.0,Cold-start (n=1),0.9,0.1
