Job_ID,Titre,Societe,Description,Skills,Categories,Annees_Experience,Niveau_Experience,Education,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
100000,Cybersecurity Engineer,BANK ABC,BANK ABC recrute un(e) Cybersecurity Engineer. Le/La candidat(e) idéal(e) maîtrise Firewall | Penetration Testing | SIEM et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· Firewall | · Penetration Testing | · SIEM | · ISO 27001 | · Network Security,informatique / télécoms,7+ Yrs of Exp,Junior,,800 - 1100 TND,Sfax,CDD,Teletravail,2026-02-14,14 février 2026,Yes,Keejob,https://www.keejob.com/offres-emploi/100000/cybersecurity-engineer/
100001,Call Center Agent,BANK ABC,BANK ABC recrute un(e) Call Center Agent. Le/La candidat(e) idéal(e) maîtrise Communication | French | English et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· Communication | · French | · English | · CRM | · Customer Care,call center / télévente,1 - 3 Yrs of Exp,Junior,,1000 - 1500 TND,"Lac 2, Tunis",CDI | CDD,Hybrid,2026-02-14,14 février 2026,No,Tunijobs,https://www.tunijobs.com/job/100001/call-center-agent/
100002,Mobile Developer,ORANGE TUNISIE,ORANGE TUNISIE recrute un(e) Mobile Developer. Le/La candidat(e) idéal(e) maîtrise Swift | Flutter | Android et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· Swift | · Flutter | · Android | · React Native | · Kotlin,informatique / télécoms,5+ Yrs of Exp,Entry Level,,800 - 1100 TND,"Lac 2, Tunis",CDI | CDD,Présentiel,2026-01-28,28 janvier 2026,Non,TunisieTravail,https://www.tunisietravail.net/offre/100002/mobile-developer/
100003,Accountant,TELNET HOLDING,TELNET HOLDING recrute un(e) Accountant. Le/La candidat(e) idéal(e) maîtrise Excel | Tax | QuickBooks et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· Excel | · Tax | · QuickBooks | · IFRS | · Accounting,banque / finance / assurances,3 - 7 Yrs of Exp,Entry Level,,1000 - 1300 TND,Ariana,Stage,Sur site,2026-03-21,21 mars 2026,No,Keejob,https://www.keejob.com/offres-emploi/100003/accountant/
100004,AI Engineer,VALEO TUNISIA,VALEO TUNISIA recrute un(e) AI Engineer. Le/La candidat(e) idéal(e) maîtrise Hugging Face | Computer Vision | NLP et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· Hugging Face | · Computer Vision | · NLP | · LLMs | · TensorFlow,informatique / télécoms,1 - 3 Yrs of Exp,Senior,,1000 - 1500 TND,"La Soukra, Ariana",CDD | SIVP,Teletravail,2026-02-09,9 février 2026,Non,Wuzzuf,https://wuzzuf.net/jobs/p/100004/ai-engineer/
100005,Electrical Engineer,LEONI,LEONI recrute un(e) Electrical Engineer. Le/La candidat(e) idéal(e) maîtrise PLC | Electrical Design | Power Systems et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· PLC | · Electrical Design | · Power Systems | · SCADA | · AutoCAD,électronique / électricité / énergie,1 an d'exp,Experienced,,2500 - 4000 TND,Ben Arous,CDI,Teletravail,2026-01-30,30 janvier 2026,Yes,Wuzzuf,https://wuzzuf.net/jobs/p/100005/electrical-engineer/
100006,Customer Services Officer,ORANGE TUNISIE,ORANGE TUNISIE recrute un(e) Customer Services Officer. Le/La candidat(e) idéal(e) maîtrise Problem Solving | CRM | Communication et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· Problem Solving | · CRM | · Communication | · Customer Care,call center / télévente,3 - 7 Yrs of Exp,Entry Level,,2500 - 4000 TND,"Oued Ellil, La Manouba",CDI | CDD,Hybrid,2026-03-15,15 mars 2026,Non,TunisieTravail,https://www.tunisietravail.net/offre/100006/customer-services-officer/
100007,Cloud Architect,APTIV,APTIV recrute un(e) Cloud Architect. Le/La candidat(e) idéal(e) maîtrise Terraform | AWS | Kubernetes et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· Terraform | · AWS | · Kubernetes | · Microservices | · GCP,informatique / télécoms,7+ Yrs of Exp,Senior,,2500 - 4000 TND,Nabeul,CDI | SIVP,Remote,2026-02-01,1 février 2026,Yes,Wuzzuf,https://wuzzuf.net/jobs/p/100007/cloud-architect/
100008,QA Engineer,DELPHI TECHNOLOGIES,DELPHI TECHNOLOGIES recrute un(e) QA Engineer. Le/La candidat(e) idéal(e) maîtrise Selenium | Agile Testing | Test Automation et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· Selenium | · Agile Testing | · Test Automation | · JUnit | · JIRA,informatique / télécoms,7+ Yrs of Exp,Manager,,4000 - 5000 TND,Tunis,CDD | SIVP,Hybride,2026-03-05,5 mars 2026,No,Keejob,https://www.keejob.com/offres-emploi/100008/qa-engineer/
100009,Procurement Officer,COFICAB,COFICAB recrute un(e) Procurement Officer. Le/La candidat(e) idéal(e) maîtrise Negotiation | Procurement | ERP et dispose d'une solide expérience dans le domaine. Rejoignez une équipe dynamique et contribuez à des projets innovants.,· Negotiation | · Procurement | · ERP | · Contract Management | · Sourcing,commerce / vente / distribution,2-4 an,Junior,,1500 - 2500 TND,Monastir,CDI,Sur site,2026-02-28,28 février 2026,No,Wuzzuf,https://wuzzuf.net/jobs/p/100009/procurement-officer/
