job_id,title,company,city,region,salary_range,contract_type,category,keywords,score_total,score_texte,score_region,score_experience,score_education
6046,2010,Maghreb Industries,0,,2202,"Casablanca Trading recherche un(e) Professeur pour rejoindre son équipe à Rabat.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Professeur
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"Gestion de classe, Formation professionnelle, Pédagogie",47.3,45.1,50.0,50.0,50.0
6097,2002,Dakhla Wind & Aquaculture,0,,2203,"Kingdom Enterprises recherche un(e) Responsable des Ventes pour rejoindre son équipe à Casablanca.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Responsable des Ventes
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"Techniques de vente, CRM, Négociation",43.5,38.1,50.0,50.0,50.0
6056,2002,PharmaLab Maroc,0,,2200,"Meknès Solutions recherche un(e) Business Developer pour rejoindre son équipe à Tétouan.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Business Developer
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"Vente, Relationnel, Techniques de vente",42.6,36.6,50.0,50.0,50.0
6159,2002,MARKA SERVICES,0,,2203,"Oasis Industries recherche un(e) Délégué Commercial pour rejoindre son équipe à Tétouan.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Délégué Commercial
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"Techniques de vente, CRM, Relationnel",42.6,36.5,50.0,50.0,50.0
6193,2010,,0,,2203,"Atlantic Solutions recherche un(e) Formateur en Ligne pour rejoindre son équipe à Fès.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Formateur en Ligne
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"E-learning, Formation professionnelle, Gestion de classe",40.8,33.3,50.0,50.0,50.0
6042,2010,Khénifra BTP & Travaux,0,,2202,"Maroc Distribution recherche un(e) Professeur pour rejoindre son équipe à Meknès.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Professeur
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"Formation professionnelle, E-learning, Gestion de classe",40.7,33.1,50.0,50.0,50.0
6111,2010,,0,,2202,"Mediterranean Group recherche un(e) Professeur pour rejoindre son équipe à Oujda.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Professeur
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"Formation professionnelle, Pédagogie, E-learning",40.5,32.7,50.0,50.0,50.0
6133,2010,Nador Commerce International,0,,2201,"Oriental Industries recherche un(e) Enseignant pour rejoindre son équipe à Casablanca.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Enseignant
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Éducation & Formation.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"Formation professionnelle, Pédagogie, E-learning",40.1,32.1,50.0,50.0,50.0
6020,2002,Meknès Precision Engineering,0,,2202,"Casablanca Trading recherche un(e) Attaché Commercial pour rejoindre son équipe à Marrakech.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Attaché Commercial
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"Relationnel, Techniques de vente, Vente",39.0,30.0,50.0,50.0,50.0
6029,2002,Nador Commerce International,0,,2200,"Rabat Industries recherche un(e) Key Account Manager pour rejoindre son équipe à Casablanca.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Key Account Manager
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",76,"Prospection, Relationnel, CRM",38.5,29.1,50.0,50.0,50.0
