job_id,cf_score,title,category,city,region,salary_range,contract_type,company,score_total,methode
6118,0.6140227333219175,2006,76,0,,2203,"Mediterranean Group recherche un(e) Technicien de Maintenance pour rejoindre son équipe à Casablanca.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Technicien de Maintenance
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Ingénierie & Production.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",,100.0,User-KNN
6059,0.2783480759202489,2006,76,0,,2203,"Mediterranean Group recherche un(e) Responsable Méthodes pour rejoindre son équipe à Rabat.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Responsable Méthodes
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Ingénierie & Production.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",Meknès Precision Engineering,39.5,User-KNN
6164,0.1990389548538413,2001,76,0,,2203,"Agadir Export recherche un(e) Développeur Python pour rejoindre son équipe à Kénitra.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Développeur Python
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Informatique & Technologies.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",FANZIUM,25.2,User-KNN
6050,0.19216205988313603,2002,76,0,,2201,"Moroccan Innovations recherche un(e) Attaché Commercial pour rejoindre son équipe à Tanger.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Attaché Commercial
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Commerce & Vente.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",Khénifra BTP & Travaux,23.9,User-KNN
6146,0.16149222248471903,2004,76,0,,2201,"Tangier Logistics recherche un(e) Chargé de Recrutement pour rejoindre son équipe à Oujda.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Chargé de Recrutement
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Ressources Humaines.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",Casa Logistics International,18.4,User-KNN
6163,0.13368967477933275,2015,76,0,,2200,"Atlantic Solutions recherche un(e) Avocat d'Affaires pour rejoindre son équipe à Kénitra.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Avocat d'Affaires
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Juridique & Conseil.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",DigiExpand Maroc,13.4,User-KNN
6134,0.12791012595169243,2013,76,0,,2202,"Atlas Services recherche un(e) Vétérinaire pour rejoindre son équipe à Kénitra.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Vétérinaire
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Agriculture & Agroalimentaire.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",Dakhla Wind & Aquaculture,12.3,User-KNN
6153,0.09381925482310904,2004,76,0,,2203,"Digital Ventures recherche un(e) Chargé de Recrutement pour rejoindre son équipe à Meknès.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Chargé de Recrutement
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Ressources Humaines.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",PharmaLab Maroc,6.2,User-KNN
6116,0.06351237328652573,2011,76,0,,2200,"Oasis Industries recherche un(e) Supply Chain Manager pour rejoindre son équipe à Rabat.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Supply Chain Manager
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Logistique & Transport.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",,0.7,User-KNN
6165,0.05956255787540033,2008,76,0,,2201,"Digital Ventures recherche un(e) Infirmier pour rejoindre son équipe à Tanger.

MISSIONS PRINCIPALES:
- Assurer les missions liées au poste de Infirmier
- Collaborer avec les équipes en place
- Contribuer au développement de l'entreprise
- Participer aux projets stratégiques
- Garantir la qualité des livrables

ENVIRONNEMENT DE TRAVAIL:
Intégrez une entreprise dynamique dans le secteur Santé & Médical.
Nous offrons un environnement de travail moderne et stimulant.

AVANTAGES:
CNSS, Mutuelle santé, Formation continue, Évolution de carrière",,0.0,User-KNN
